n_vertices,n_edges,edge_percentage,exact_size,exact_operations,exact_configs,exact_time,greedy_size,greedy_operations,greedy_time,precision
14,14,0.125,5,3848,1594,0.0011627674102783203,6,84,5.984306335449219e-05,0.8333333333333334
14,22,0.25,4,3269,788,0.0010216236114501953,5,70,3.695487976074219e-05,0.8
14,45,0.5,2,171,54,7.724761962890625e-05,2,28,2.765655517578125e-05,1.0
14,68,0.75,2,88,18,4.601478576660156e-05,2,28,2.47955322265625e-05,1.0
15,16,0.125,5,11171,3343,0.003162384033203125,6,90,4.00543212890625e-05,0.8333333333333334
15,26,0.25,4,3175,979,0.0010533332824707031,4,60,3.719329833984375e-05,1.0
15,52,0.5,2,474,99,0.0001971721649169922,2,30,2.8371810913085938e-05,1.0
15,78,0.75,1,69,15,3.552436828613281e-05,1,15,1.621246337890625e-05,1.0
16,19,0.125,6,25174,7897,0.0073394775390625,6,96,4.935264587402344e-05,1.0
16,30,0.25,4,6111,2121,0.0020749568939208984,6,96,5.1021575927734375e-05,0.6666666666666666
16,60,0.5,3,470,138,0.00019478797912597656,3,48,4.4345855712890625e-05,1.0
16,90,0.75,2,87,18,4.315376281738281e-05,2,32,2.8371810913085938e-05,1.0
17,19,0.125,5,17167,6044,0.004989147186279297,6,102,4.2438507080078125e-05,0.8333333333333334
17,34,0.25,4,7298,1643,0.0023775100708007812,4,68,4.458427429199219e-05,1.0
17,68,0.5,3,691,173,0.00029778480529785156,3,51,4.6253204345703125e-05,1.0
17,102,0.75,2,102,26,5.435943603515625e-05,2,34,3.218650817871094e-05,1.0
18,22,0.125,6,90171,25274,0.03170657157897949,6,108,5.626678466796875e-05,1.0
18,38,0.25,4,11186,2289,0.0038912296295166016,4,72,5.0067901611328125e-05,1.0
18,76,0.5,3,738,174,0.0003273487091064453,3,54,4.696846008300781e-05,1.0
18,114,0.75,2,134,30,6.318092346191406e-05,2,36,3.4332275390625e-05,1.0
19,23,0.125,6,50581,17748,0.02132439613342285,7,133,7.414817810058594e-05,0.8571428571428571
19,42,0.25,4,8130,2112,0.0025784969329833984,5,95,5.8650970458984375e-05,0.8
19,85,0.5,3,931,192,0.0003936290740966797,3,57,4.8160552978515625e-05,1.0
19,128,0.75,2,97,20,4.8160552978515625e-05,2,38,3.552436828613281e-05,1.0
20,25,0.125,7,272926,69404,0.08956527709960938,7,140,7.319450378417969e-05,1.0
20,47,0.25,4,13748,2748,0.00439000129699707,5,100,6.318092346191406e-05,0.8
20,95,0.5,3,937,214,0.00039887428283691406,3,60,4.7206878662109375e-05,1.0
20,142,0.75,2,105,23,5.936622619628906e-05,2,40,4.100799560546875e-05,1.0
21,27,0.125,7,408270,135233,0.13269495964050293,8,168,7.176399230957031e-05,0.875
